asset_mint,cargo_type
ammoK8AkX2wnebQb35cDAZtTkvsXQbi82cGeTnUvvfK,Ammunition
tooLsNYLiVqzg8o4m3L2Uetbn62mvMWRqkog6PQeYKL,Toolkit
foodQJAztMzX1DKpLaiounNe2BDMds5RNuPC6jsNrDG,Food
fueL3hBZjLLLJHiFH9cqZoozTG3XQZ53diwFPwbzNim,Fuel
RCH1Zhg4zcSSQK8rw2s6rDMVsgBEWa4kiv1oLFndrN5,Rochinol
ARCoQ9dndpg6wE2rRexzfwgJR3NoWWhpcww3xQcQLukg,Arco
STEELXLJ8nfJy3P4aNuGxyNRbWPohqHSwxY75NsJRGG,Steel
CRYSNnUd7cZvVfrEVtVNKmXiCPYdZ1S5pM5qG2FDVZHF,Crystal Lattice
MAGNMDeDJLvGAnriBvzWruZHfXNwWHhxnoNF75AQYM5,Magnet
ELECrjC8m9GxCqcm4XCNpFvkS8fHStAvymS6MJbe3XLZ,Electronics
PoLYs2hbRt5iDibrkPT9e6xWuhSS45yZji5ChgJBvcB,Polymer
cwirGHLB2heKjCeTy4Mbp4M443fU4V7vy2JouvYbZna,Copper Wire
FMWKb7YJA5upZHbu5FjVRRoxdDw2FYFAu284VqUGF9C2,Framework
SUBSVX9LYiPrzHeg2bZrqFSDSKkrQkiCesr6SjtdHaX,Energy Substrate
RABSXX6RcqJ1L5qsGY64j91pmbQVbsYRQuw1mmxhxFe,Radiation Absorber
HYCBuSWCJ5ZEyANexU94y1BaBPtAX2kzBgGD2vES2t6M,Hydrocarbon
DMNDKqygEN3WXKVrAD4ofkYBc4CKNRhFUbXP4VK7a944,Diamond
SDUsgfSZaDhhZ76U3ZgvtFiXsfnHbf2VrzYxjBZ5YbM,Survey Data Unit
PTCLSWbwZ3mqZqHAporphY2ofio8acsastaHfoP87Dc,Particle Accelerator
CUore1tNkiubxSwDEtLc3Ybs1xfWLs8uGjyydUYZ25xc,Copper Ore
ironxrUhTEaBiR9Pgp6hy4qWx6V2FirDoXhsFP25GFP,Iron
CARBWKWvxEuMcq3MqCxYfi7UoFVpL9c4rsQS99tw6i4X,Carbon
EMiTWSLgjDVkBbLFaMcGU6QqFWzX9JX6kqs1UtUjsmJA,Strange Emitter
CoNDDRCNxXAMGscCdejioDzb6XKxSzonbWb36wzSgp5T,Super Conductor
GRAPHKGoKtXtdPBx17h6fWopdT5tLjfAP8cDJ1SvvDn4,Graphene
FeorejFjRRAfusN9Fg3WjEZ1dRCf74o6xwT5vDt3R34J,Iron Ore
MASS9GqtJz6ABisAxcUn3FeR4phMqH1XfG6LPKJePog,Biomass
CPPRam7wKuBkYzN5zCffgNU17RKaeMEns4ZD83BqBVNR,Copper
HYDR4EPHJcDPcaLYUcNCtrXUdt1PnaN4MvE655pevBYp,Hydrogen
EMAGoQSP89CJV5focVjrpEuE4CeqJ4k1DouQW7gUu7yX,Electromagnet
PoWRYJnw3YDSyXgNtN3mQ3TKUMoUSsLAbvE8Ejade3u,Power Source
LUMACqD5LaKjs1AeuJYToybasTXoYQ7YkxJEc4jowNj,Lumanite
CRFRjhzDEhBSWGqpfdnqUHnbPLrimcuQ69kT9XE6tyRr,Council RFR 2023
FiELD9fGaCgiNMfzQKKZD78wxwnBHTwjiiJfsieb6VGb,Field Stabilizer
aeroBCMu6AX6bCLYd1VQtigqZh8NGSjn54H1YSczHeJ,Aerogel
TTNM1SMkM7VKtyPW6CNBZ4cg3An3zzQ8NVLS2HpMaWL,Titanium
tiorehR1rLfeATZ96YoByUkvNFsBfUUSQWgSH2mizXL,Titanium Ore
Nitro6idW5JCb2ysUPGUAvVqv3HmUR7NVH7NdybGJ4L,Nitrogen
SiLiCA4xKGkyymB5XteUVmUeLqE4JGQTyWBpKFESLgh,Silica
GT24XW4QvPxm1Dj63kYQMVa2nwwReLtcWXyHzA6G4yRw,Golden Ticket 2624
mic9ZayXBs7x3T6qgM2VskuaWFC8egCQBkTHcy8BoPM,MUD Infrastructure Contract
oicT4ECU7nuPBZD2HUg8sb9nG4MDXWaE8vAnzwzXqcg,ONI Infrastructure Contract
uicF2zhVoZguiFbr2KWp3kFBYwezs6HZqMzQfLbXw1A,Ustur Infrastructure Contract
